Badge Name,Category,Type,Description,Completion Rules,Requirements
Animal Friend,Activity Badges,Activity,Learn how to care for the many wonderful animals we share our world with,Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Learn how to care for an animal.
2. 2. Help to take care of that animal for four weeks.
3. 3. Keep a note of how you have looked after the animal for four weeks.
4. 4. Tell others in your Colony or Lodge about the animal."
Book Reader,Activity Badges,Activity,"They're just words, but put them in the right order, and they become stories",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Design a cover for your favourite book.
2. 2. Read at least six books.
3. 3. Show that you know how to look after a book.
4. 4. Make a bookmark and explain what bookmarks are for."
Builder,Activity Badges,Activity,Explore your imagination by designing a concept model and bring it to life.,Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Design a model of something you would like to build. The design can be on paper or a computer.
2. 2. Make a list of all the things you are going to need to build your idea.
3. 3. Build your idea using the things you need. Your model could be made using building blocks, gears or recycled items such as toilet roll tubes or cardboard boxes.
4. 4. Explain to your Lodge Leader, Explorer Scout Young Leader or Beaver Leader how long your build took to finish, if anything went wrong and what you would change if you built it again."
Camp Craft,Activity Badges,Activity,"It's time for a camp trip! From tents to fire building, here's your ticket to becoming a crafty camper.",Complete ALL 7 requirements,"Complete ALL of the following:
1. 1. Help to put up a tent.
2. 2. Collect wood and help to build a fire.
3. 3. Cook on a fire or barbeque.
4. 4. Learn how to tie a reef knot.
5. 5. Take part in a small pioneering project.
6. 6. Start your own camp blanket.
7. 7. Visit a Cub, Scout or Group camp."
Collector,Activity Badges,Activity,"For thousands of years, people have collected artefacts, objects, and treasures. Now it's your turn.",Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Spend at least six weeks making a collection.
2. 2. Show your Colony or Lodge a sample of things from your collection.
3. 3. Tell others in your Colony or Lodge about your collection."
Communicator,Activity Badges,Activity,"Listen up! from simple phone calls to secret codes, Scouts are fantastic communicators.",Complete ALL 5 requirements,"Complete ALL of the following:
1. 1. Learn how to make a phone call.
2. 2. Learn your phone number.
3. 3. Learn how to send an email or text message.
4. 4. Spell your name in Morse code, semaphore, the phonetic alphabet, or using pictures and symbols.
5. 5. Try to work out a simple message given to you in Morse code, semaphore, the phonetic alphabet, or using pictures and symbols."
Cook,Activity Badges,Activity,Discover how to whip up the tastiest food for you and your friends. Ready. Steady. Cook.,Complete ALL 4 requirements,"Complete ALL of the following:
1. Find out what makes a balanced diet.
2. Find out about why being clean in the kitchen is important.
3. Learn about being safe in the kitchen.
4. Choose three dishes to prepare and cook."
Creative,Activity Badges,Activity,"Dance. Paint. Build. Whatever you create, your imagination can conquer the world.",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Do a performance.
2. 2. Try a craft.
3. 3. Construct something.
4. 4. Use your imagination."
Cyclist,Activity Badges,Activity,"With the wind in your hair and feet in your shoes, you can steer yourself in any direction you choose. Helmets at the ready!",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Find out why it’s important to wear safety equipment like a helmet, reflective clothing and lights.
2. 2. Show how to put on and wear a cycle helmet correctly.
3. 3. Show how to pump up a tyre.
4. 4. Go for a short ride in a safe place."
Disability Awareness,Activity Badges,Activity,Get ready to explore and learn about disability.,Complete ALL 4 requirements,"Complete ALL of the following:
1. Different disabilities
2. Equipment and adaptations
3. Communication and support
4. Real world skills and knowledge"
